2022-10-30 18:42:12.543795 442264099 alexostryanko АлексейОстрянко 25/5
2022-10-30 18:42:33.325793 442264099 alexostryanko АлексейОстрянко fgsfg
2022-10-30 18:50:25.438565 442264099 alexostryanko РђР»РµРєСЃРµР№ РћСЃС‚СЂСЏРЅРєРѕ sadasdasd
2022-10-30 18:50:34.347837 442264099 alexostryanko РђР»РµРєСЃРµР№ РћСЃС‚СЂСЏРЅРєРѕ С„С‹РІС„С‹РІС„С‹РІ
2022-10-30 18:51:14.248538 442264099 alexostryanko Алексей Острянко фывфывфыв
2022-10-30 18:53:51.570933 442264099 alexostryanko Алексей Острянко 5*5
2022-10-30 18:54:01.195710 442264099 alexostryanko Алексей Острянко 25**0.5
2022-10-30 18:54:08.017809 442264099 alexostryanko Алексей Острянко 25/0
2022-10-30 19:13:40.767418 442264099 alexostryanko Алексей Острянко /25
2022-10-30 19:13:50.994616 442264099 alexostryanko Алексей Острянко 78/0
2022-10-30 19:15:28.835558 442264099 alexostryanko Алексей Острянко (25-5)/4
2022-10-30 19:15:56.219537 442264099 alexostryanko Алексей Острянко sqrt (25)
2022-10-30 19:16:02.978449 442264099 alexostryanko Алексей Острянко python
2022-10-30 19:16:14.777232 442264099 alexostryanko Алексей Острянко ответ
2022-10-30 19:18:27.837549 458790014 AnOstrianko Анастасия None 4+5
2022-10-30 19:18:34.283305 458790014 AnOstrianko Анастасия None Абалдеть
2022-10-30 19:28:01.080594 463274506 Ilya_Dukhtanov Ilya None sqrt(256)
2022-10-30 19:30:31.299550 442264099 alexostryanko Алексей Острянко sqrt(256)
2022-10-30 19:43:04.944899 442264099 alexostryanko Алексей Острянко 123
2022-10-30 19:43:09.933001 442264099 alexostryanko Алексей Острянко 85/0
2022-10-30 19:48:53.783726 1514417774 None НатальяЛ None /start
2022-10-30 19:49:16.384180 1514417774 None НатальяЛ None /help
2022-10-30 19:49:58.530253 1514417774 None НатальяЛ None 5*5
2022-10-30 19:50:12.585669 1514417774 None НатальяЛ None 5**2
2022-10-30 19:50:17.260651 1514417774 None НатальяЛ None 8**2
2022-10-30 19:50:58.077790 593242356 None Evgeny None /start
2022-10-30 19:51:04.647864 593242356 None Evgeny None /help
2022-10-30 19:51:22.938886 593242356 None Evgeny None 5+10
2022-10-30 19:51:33.936202 593242356 None Evgeny None 666*777
2022-10-30 19:52:00.866330 593242356 None Evgeny None 26/999
2022-10-30 19:52:02.629542 1514417774 None НатальяЛ None 5+8**2*0,5
2022-10-30 19:52:16.668421 593242356 None Evgeny None 2**
2022-10-30 19:52:32.034565 593242356 None Evgeny None 2*
2022-10-30 19:52:44.265917 1514417774 None НатальяЛ None не правильно считаешь, уважаемый
2022-10-30 19:52:45.062131 593242356 None Evgeny None 25**2
2022-10-30 19:52:52.823795 593242356 None Evgeny None 100**2
2022-10-30 19:53:25.469205 442264099 alexostryanko Алексей Острянко 5+8**2*0,5
2022-10-30 19:54:11.330969 442264099 alexostryanko Алексей Острянко 5+8**2*0.5
2022-10-30 19:54:23.212127 1514417774 None НатальяЛ None 100-5**2*4
2022-10-30 19:55:43.878763 1514417774 None НатальяЛ None 100-2*5/32
2022-10-30 19:55:56.470429 442264099 alexostryanko Алексей Острянко 100-2*5/32
2022-10-30 19:56:05.425015 1514417774 None НатальяЛ None молодец!
